Raw Feature,Feature,Direction,Coefficient
categorical__cp_1 categorical__fbs_0,Chest Pain Type = 1 (Atypical angina) x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward heart disease,2.455958357569393
categorical__fbs_0 categorical__ca_4,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl) x Number of Major Vessels = 4,Toward heart disease,2.4101606667624274
numeric__trestbps categorical__thal_7,Resting Blood Pressure x Thalassemia Result = 7,Toward heart disease,2.375952517815598
numeric__thalachh categorical__ca_1,Maximum Heart Rate x Number of Major Vessels = 1,Toward no heart disease,-2.3513380959457013
numeric__chol categorical__slope_1,Cholesterol x ST Slope = 1 (Flat),Toward heart disease,2.247996872774921
numeric__thalachh categorical__cp_2,Maximum Heart Rate x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,-2.143355305772176
categorical__slope_2,ST Slope = 2 (Downsloping),Toward heart disease,2.126284648793663
categorical__cp_3 categorical__restecg_0,Chest Pain Type = 3 (Asymptomatic) x Resting ECG Result = 0 (Normal),Toward heart disease,2.1118283434561547
categorical__restecg_0 categorical__thal_2,Resting ECG Result = 0 (Normal) x Thalassemia Result = 2 (Normal),Toward heart disease,2.0598068236299514
numeric__trestbps categorical__slope_3,Resting Blood Pressure x ST Slope = 3,Toward no heart disease,-2.032094026075884
numeric__oldpeak categorical__slope_0,Oldpeak x ST Slope = 0 (Upsloping),Toward no heart disease,-2.024830209414333
categorical__cp_0 categorical__ca_0,Chest Pain Type = 0 (Typical angina) x Number of Major Vessels = 0,Toward heart disease,2.0154635339844775
numeric__age categorical__fbs_0,Age x Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl),Toward no heart disease,-1.9944310241804275
numeric__trestbps categorical__slope_1,Resting Blood Pressure x ST Slope = 1 (Flat),Toward no heart disease,-1.9591411169082287
categorical__fbs_0 categorical__restecg_1,Fasting Blood Sugar = 0 (Fasting blood sugar <= 120 mg/dl) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,-1.9307740740244008
numeric__oldpeak categorical__thal_1,Oldpeak x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,-1.9216134373062723
numeric__oldpeak categorical__cp_3,Oldpeak x Chest Pain Type = 3 (Asymptomatic),Toward heart disease,1.9157568061482024
categorical__cp_0 categorical__restecg_0,Chest Pain Type = 0 (Typical angina) x Resting ECG Result = 0 (Normal),Toward no heart disease,-1.8778141684590501
numeric__chol categorical__sex_0,Cholesterol x Sex = 0 (Female),Toward heart disease,1.8228315521057155
numeric__trestbps categorical__thal_1,Resting Blood Pressure x Thalassemia Result = 1 (Fixed defect),Toward no heart disease,-1.7588435816399641
numeric__thalachh numeric__oldpeak,Maximum Heart Rate x Oldpeak,Toward heart disease,1.745597533189616
categorical__sex_1 categorical__thal_7,Sex = 1 (Male) x Thalassemia Result = 7,Toward heart disease,1.6802007690014449
categorical__exang_0 categorical__ca_4,Exercise-Induced Angina = 0 (No) x Number of Major Vessels = 4,Toward heart disease,1.6764540247428936
numeric__chol categorical__restecg_0,Cholesterol x Resting ECG Result = 0 (Normal),Toward no heart disease,-1.5123205015889714
numeric__age categorical__ca_1,Age x Number of Major Vessels = 1,Toward no heart disease,-1.5015182618751957
numeric__trestbps categorical__cp_2,Resting Blood Pressure x Chest Pain Type = 2 (Non-anginal pain),Toward heart disease,1.4906397670377862
numeric__trestbps categorical__sex_0,Resting Blood Pressure x Sex = 0 (Female),Toward heart disease,1.451741019539261
categorical__sex_0 categorical__ca_0,Sex = 0 (Female) x Number of Major Vessels = 0,Toward no heart disease,-1.4287268967203226
categorical__restecg_0 categorical__ca_1,Resting ECG Result = 0 (Normal) x Number of Major Vessels = 1,Toward heart disease,1.3640498049814085
categorical__exang_1 categorical__slope_1,Exercise-Induced Angina = 1 (Yes) x ST Slope = 1 (Flat),Toward no heart disease,-1.3499696335834737
numeric__thalachh categorical__sex_1,Maximum Heart Rate x Sex = 1 (Male),Toward heart disease,1.3449598030563121
categorical__fbs_1 categorical__thal_2,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Thalassemia Result = 2 (Normal),Toward heart disease,1.3267123105099494
numeric__thalachh categorical__slope_2,Maximum Heart Rate x ST Slope = 2 (Downsloping),Toward heart disease,1.3255487059270579
categorical__ca_1 categorical__thal_7,Number of Major Vessels = 1 x Thalassemia Result = 7,Toward heart disease,1.3038424009407614
categorical__sex_1 categorical__ca_4,Sex = 1 (Male) x Number of Major Vessels = 4,Toward heart disease,1.3037328077029866
numeric__chol categorical__thal_2,Cholesterol x Thalassemia Result = 2 (Normal),Toward no heart disease,-1.3035093401366162
numeric__age categorical__cp_2,Age x Chest Pain Type = 2 (Non-anginal pain),Toward no heart disease,-1.290854186645848
categorical__cp_2 categorical__slope_2,Chest Pain Type = 2 (Non-anginal pain) x ST Slope = 2 (Downsloping),Toward heart disease,1.2660732439395264
categorical__fbs_1 categorical__exang_0,Fasting Blood Sugar = 1 (Fasting blood sugar > 120 mg/dl) x Exercise-Induced Angina = 0 (No),Toward heart disease,1.2368904101691465
numeric__chol numeric__oldpeak,Cholesterol x Oldpeak,Toward no heart disease,-1.2365058757828644
numeric__oldpeak categorical__restecg_2,Oldpeak x Resting ECG Result = 2 (Left ventricular hypertrophy),Toward heart disease,1.2103430428933837
categorical__thal_3,Thalassemia Result = 3 (Reversible defect),Toward no heart disease,-1.1669583060565623
categorical__restecg_1 categorical__ca_4,Resting ECG Result = 1 (ST-T wave abnormality) x Number of Major Vessels = 4,Toward heart disease,1.1339893089430155
categorical__cp_3 categorical__ca_1,Chest Pain Type = 3 (Asymptomatic) x Number of Major Vessels = 1,Toward heart disease,1.1069280598240818
categorical__sex_0 categorical__cp_1,Sex = 0 (Female) x Chest Pain Type = 1 (Atypical angina),Toward heart disease,1.0781678886279886
categorical__cp_3 categorical__slope_1,Chest Pain Type = 3 (Asymptomatic) x ST Slope = 1 (Flat),Toward heart disease,1.077812828720613
numeric__chol categorical__ca_0,Cholesterol x Number of Major Vessels = 0,Toward no heart disease,-1.0585599526301832
categorical__cp_0 categorical__thal_2,Chest Pain Type = 0 (Typical angina) x Thalassemia Result = 2 (Normal),Toward heart disease,1.0306486170639357
categorical__cp_3 categorical__restecg_1,Chest Pain Type = 3 (Asymptomatic) x Resting ECG Result = 1 (ST-T wave abnormality),Toward no heart disease,-1.0267783855109924
numeric__age categorical__restecg_0,Age x Resting ECG Result = 0 (Normal),Toward heart disease,0.9976000996002469
numeric__chol categorical__sex_1,Cholesterol x Sex = 1 (Male),Toward no heart disease,-0.9847347212383356
numeric__trestbps categorical__exang_0,Resting Blood Pressure x Exercise-Induced Angina = 0 (No),Toward heart disease,0.9522376343746981
numeric__age numeric__thalachh,Age x Maximum Heart Rate,Toward no heart disease,-0.9513670363956982
numeric__thalachh categorical__restecg_1,Maximum Heart Rate x Resting ECG Result = 1 (ST-T wave abnormality),Toward heart disease,0.9470414413384693
categorical__exang_1 categorical__ca_1,Exercise-Induced Angina = 1 (Yes) x Number of Major Vessels = 1,Toward heart disease,0.9392439741220788
numeric__age numeric__oldpeak,Age x Oldpeak,Toward no heart disease,-0.9171159765328649
